name,id,price,unit,size,weight
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีวู๊ดเดน บราวน์,8852439031726,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่น EXCELLA CRESTA สี SABANA BLACK,8852439040209,117.00 - 120.00 บาท,/ ชิ้น,33.5x42x2 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีเพิร์ลลี่ เกรย์,8852439032020,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีเรด ไวน์,8852439036585,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีดีพ บลู,8852439036714,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่นเซลิกา เคิร์ฟ สีชาโคล เกรย์,8852439031924,62.00 - 72.00 บาท,/ ชิ้น,33x42x1 ซม.,3 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีไดมอนด์ เกรย์,8852439000067,94.00 - 110.40 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีทิมเบอร์ บราวน์,8852439000203,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีคาเนเลียนบราวน์,8852439000142,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีบลู คอร์เดียร์,8852439000012,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
