name,id,price,unit,size,weight
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีเรด การ์เนต,8852439000029,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีเรด แซปไฟร์,8852439000111,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีไวท์ เพิร์ล,8852439000050,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีเยลโลแซปไฟร์,8852439000159,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีโคโค่บราวน์,8852439010370,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีซิลเวอร์เกรย์,8852439012930,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีแพลทตินั่ม,8852439012954,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีกรีน เพริดอท,8852439000036,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีกรีนเจไดท์,8852439000166,94.00 - 110.40 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีคริสตัล บลู,8852439000265,89.00 - 103.20 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นคลาสสิคไทย สีขาวพราวนภา,8852439019533,110.00 - 128.00 บาท,/ ชิ้น,43.4x41.2x2.35 ซม.,4 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีคอปเปอร์บราวน์,8852439012947,89.00 - 103.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีโอลีฟ กรีน,8852439017584,94.00 - 110.40 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีซันไรส์,8852439006519,94.00 - 110.40 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีเนวี บลู,8852439006496,94.00 - 103.20 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีเบอร์กันดี้,8852439006489,94.00 - 103.20 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีเอเวอร์กรีน,8852439006502,94.00 - 110.40 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีไอออนนิค,8852439006472,94.00 - 110.40 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า คลาสสิค สีออบสิเดียน เกรย์,8852439035212,94.00 - 110.40 บาท,/ ชิ้น,33x42x2.35 ซม.,3.5 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีออบซิเดียน เกรย์,8852439035366,94.00 - 110.40 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า โมเดิร์น สีออบซิเดียน เกรย์,8852439035373,94.00 - 109.20 บาท,/ ชิ้น,33.5x42x2.35 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นเอ็กซ์เซลล่า เกรซ สีอเมทิส บราวน์,8852439037698,94.00 - 109.20 บาท,/ ชิ้น,34.5x42x2.45 ซม.,3.8 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นคลาสสิคไทย สีน้ำเงินแพรพรรณ,8852439024810,118.00 - 125.00 บาท,/ ชิ้น,43.4x41.2x2.35 ซม.,4 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นคลาสสิคไทย สีแดงเจิดจรัส,8852439019113,115.20 - 128.00 บาท,/ ชิ้น,43.4x41.2x2.35 ซม.,4 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นคลาสสิคไทย สีน้ำตาลรัศมี,8852439019106,110.00 - 128.00 บาท,/ ชิ้น,43.4x41.2x2.35 ซม.,4 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นคลาสสิคไทย สีเหลืองกัลยา,8852439019090,110.00 - 128.00 บาท,/ ชิ้น,43.4x41.2x2.35 ซม.,4 กก.
กระเบื้องหลังคาเซรามิค เอสซีจี รุ่นคลาสสิคไทย สีเขียวมณีนิล,8852439019083,118.00 - 125.00 บาท,/ ชิ้น,43.4x41.2x2.35 ซม.,4 กก.
N/A,N/A,N/A,N/A,N/A,N/A
กระเบื้องหลังคาเซรามิก เอสซีจี รุ่น EXCELLA CRESTA สี CLAY,8852439041039,117.00 - 120.00 บาท,/ ชิ้น,33.5x42x2 ซม.,3.8 กก.
