name,id,price,unit,size,weight
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด สีแดง ขนาด 50x120x0.55 ซม.,8852404067460,61.50 - 78.00 บาท,/ ชิ้น,50x120 ซม.,6.7 กก.
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด สีเปลือกมังคุด ขนาด 50x120x0.55 ซม.,8852404067545,61.50 - 78.00 บาท,/ ชิ้น,50x120 ซม.,6.7 กก.
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด สีน้ำเงินประกายมุก ขนาด 50x120x0.55 ซม.,8852404067583,68.00 - 81.60 บาท,/ ชิ้น,50x120 ซม.,6.7 กก.
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด สีเขียวประกายมุก ขนาด 50x120x0.55 ซม.,8852404067606,68.00 - 81.60 บาท,/ ชิ้น,50x120 ซม.,6.7 กก.
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด ซีเมนต์ ขนาด 50x120x0.55 ซม.,8852404067422,53.00 - 64.80 บาท,/ ชิ้น,50x120 ซม.,6.7 กก.
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด สีเทาศิลา ขนาด 50x120x0.55 ซม.,8852404067446,61.50 - 78.00 บาท,/ ชิ้น,50x120 ซม.,6.7 กก.
หลังคาไฟเบอร์ซีเมนต์ เอสซีจี รุ่น ลอนคู่ไฮบริด สีเทาศิลา ขนาด 50x150x0.55 ซม.,8852404067453,76.25 - 98.40 บาท,/ ชิ้น,50x150 ซม.,8.4 กก.
ระบบหลังคา เมทัลรูฟ เอสซีจี รุ่น คอมฟอร์ท ลอน Snaplock ลาย Stiffener B สี CHARCOAL GRAY 0.50 mm.,8852422119677,341.00 บาท,/ เมตร,30x100 ซม.,1.935395 กก.
ระบบหลังคา เมทัลรูฟ เอสซีจี รุ่น คอมฟอร์ท ลอน Snaplock ลาย Stiffener B สี TERRACOTTA 0.50 mm.,8852422119684,341.00 บาท,/ เมตร,30x100 ซม.,1.935395 กก.
ระบบหลังคา เมทัลรูฟ เอสซีจี รุ่น คอมฟอร์ท ลอน Snaplock ลาย Stiffener B สี WHITE PEARL 0.50 mm.,8852422119691,341.00 บาท,/ เมตร,30x100 ซม.,1.935395 กก.
หลังคา เมทัลรูฟ เอสซีจี รุ่น คอมฟอร์ท ลอน Snaplock ลาย Stiffener B สี MOCHA 0.50 mm.,8852422127269,341.00 บาท,/ เมตร,30x100 ซม.,1.935395 กก.
หลังคา เมทัลรูฟ เอสซีจี รุ่น คอมฟอร์ท ลอน Snaplock ลาย Stiffener B สี CHARCOAL GRAY 0.50 mm.,8852422127238,308.00 บาท,/ เมตร,30x100 ซม.,1.935395 กก.
